date_time,currency,Today Price,Forecasted Tomorrow Price,Price Score,Today Volume,Forecasted Tomorrow Volume,Volume Score,Today Market Cap,Forecasted Tomorrow Market Cap,Market Cap Score,Sentiment,Sentiment Score
2022-11-01 19:31:34,ETH_USD,1572.979514885975,1579.4789198780459,0.41%,14900137160.396046,16115183640.57884,8.15%,189478578997.59592,190224393474.20477,0.39%,default,
2022-11-01 19:57:58,ETH_USD,1572.979514885975,1579.4789198780459,0.41%,14900137160.396046,16115183640.57884,8.15%,189478578997.59592,190224393474.20477,0.39%,default,
2022-11-01 20:00:19,ETH_USD,1572.979514885975,1579.4789198780459,0.41%,14900137160.396046,16115183640.57884,8.15%,189478578997.59592,190224393474.20477,0.39%,default,
2022-11-01 20:05:43,ETH_USD,1572.979514885975,1579.4789198780459,0.41%,14900137160.396046,16115183640.57884,8.15%,189478578997.59592,190224393474.20477,0.39%,default,
2022-11-01 20:24:03,ETH_USD,1572.979514885975,1579.4789198780459,0.41%,14900137160.396046,16115183640.57884,8.15%,189478578997.59592,190224393474.20477,0.39%,default,
2022-11-01 20:29:42,ETH_USD,1572.979514885975,1579.4789198780459,0.41%,14900137160.396046,16115183640.57884,8.15%,189478578997.59592,190224393474.20477,0.39%,default,
2022-11-01 22:18:49,ETH_USD,1572.979514885975,1579.4789198780459,0.41%,14900137160.396046,16115183640.57884,8.15%,189478578997.59592,190224393474.20477,0.39%,default,
2022-11-01 23:09:50,ETH_USD,1572.979514885975,1579.4789198780459,0.41%,14900137160.396046,16115183640.57884,8.15%,189478578997.59592,190224393474.20477,0.39%,default,
2022-11-01 23:13:42,ETH_USD,1572.979514885975,1579.4789198780459,0.41%,14900137160.396046,16115183640.57884,8.15%,189478578997.59592,190224393474.20477,0.39%,default,
2022-11-02 00:14:27,ETH_USD,1572.979514885975,1579.4789198780459,0.41%,14900137160.396046,16115183640.57884,8.15%,189478578997.59592,190224393474.20477,0.39%,default,
2022-11-03 12:44:49,ETH_USD,1520.6383643789843,1519.3427523641208,0%,27498708818.133373,21901464447.44615,0%,183368006193.10983,183018567404.05423,0%,default,
2022-11-03 13:45:21,ETH_USD,1520.6383643789843,1519.3427523641208,0%,27498708818.133373,21901464447.44615,0%,183368006193.10983,183018567404.05423,0%,default,
2022-11-03 19:45:52,ETH_USD,1520.6383643789843,1519.3427523641167,0%,27498708818.133373,21901464498.6211,0%,183368006193.10983,183018567404.0536,0%,default,
2022-11-03 19:46:58,ETH_USD,1520.6383643789843,1519.3427523641167,0%,27498708818.133373,21901464498.6211,0%,183368006193.10983,183018567404.0536,0%,default,
2022-11-03 20:48:05,ETH_USD,1520.6383643789843,1519.3427523641167,0%,27498708818.133373,21901464498.6211,0%,183368006193.10983,183018567404.0536,0%,default,
2022-11-03 21:48:01,ETH_USD,1520.6383643789843,1519.3427523641167,0%,27498708818.133373,21901464498.6211,0%,183368006193.10983,183018567404.0536,0%,default,
2022-11-03 22:48:00,ETH_USD,1520.6383643789843,1519.3427523641167,0%,27498708818.133373,21901464498.6211,0%,183368006193.10983,183018567404.0536,0%,default,
2022-11-03 23:48:00,ETH_USD,1520.6383643789843,1519.3427523641167,0%,27498708818.133373,21901464498.6211,0%,183368006193.10983,183018567404.0536,0%,default,
2022-11-04 00:47:58,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 01:48:00,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 02:47:59,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 03:47:58,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 04:47:58,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 05:47:59,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 06:47:59,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 07:47:58,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 08:47:59,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 09:47:59,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 10:48:01,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 11:47:58,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 12:47:58,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 13:48:01,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 14:47:58,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 15:48:01,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 16:47:58,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 17:48:00,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 18:48:02,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-04 19:48:00,ETH_USD,1531.112630741574,1529.9536192290489,0%,22537458293.692245,20694471492.33542,0%,184398997533.25903,184330679550.7203,0%,default,
2022-11-06 22:00:45,ETH_USD,1626.8064304933644,1629.3876572109266,0.16%,21174006976.119827,22466285138.077408,6.1%,196264485041.5907,196555419974.86633,0.15%,default,
2022-11-06 23:01:12,ETH_USD,1626.8064304933644,1629.3876572109266,0.16%,21174006976.119827,22466285138.077408,6.1%,196264485041.5907,196555419974.86633,0.15%,default,
2022-11-06 23:51:55,ETH_USD,1626.8064304933644,1629.3876572109266,0.16%,21174006976.119827,22466285138.077408,6.1%,196264485041.5907,196555419974.86633,0.15%,default,
